stellarType,starColor
C1III,255 242 224
C1IV,255 241 228
C1V,255 235 218
C1VI,255 235 218
C2Ia0,255 214 150
C2Ia,255 214 150
C2Ib,255 214 150
C2II,255 226 183
C2III,255 241 215
C2IV,255 236 218
C2V,255 228 207
C2VI,255 228 207
C3Ia0,255 206 129
C3Ia,255 206 129
C3Ib,255 206 129
C3II,255 221 170
C3III,255 240 207
C3IV,255 232 209
C3V,255 222 196
C3VI,255 222 196
C4Ia0,255 198 107
C4Ia,255 198 107
C4Ib,255 198 107
C4II,255 216 157
C4III,255 239 198
C4IV,255 227 199
C4V,255 215 185
C4VI,255 215 185
C5Ia0,255 190 086
C5Ia,255 190 086
C5Ib,255 190 086
C5II,255 211 143
C5III,255 237 189
C5IV,255 223 189
C5V,255 209 174
C5VI,255 209 174
C6Ia0,255 182 064
C6Ia,255 182 064
C6Ib,255 182 064
C6II,255 205 130
C6III,255 236 180
C6IV,255 218 179
C6V,255 206 158
C6VI,255 206 158
C7Ia0,255 173 043
C7Ia,255 173 043
C7Ib,255 173 043
C7II,255 200 117
C7III,255 235 172
C7IV,255 214 170
C7V,255 204 141
C7VI,255 204 141
C8Ia0,255 165 021
C8Ia,255 165 021
C8Ib,255 165 021
C8II,255 195 104
C8III,255 234 163
C8IV,255 209 160
C8V,255 201 125
C8VI,255 201 125
C9Ia0,255 157 000
C9Ia,255 157 000
C9Ib,255 157 000
C9II,255 190 091
C9III,255 233 154
C9IV,255 205 150
C9V,255 198 108
C9VI,255 198 108
S0Ia0,255 204 143
S0Ia,255 204 143
S0Ib,255 204 143
S0II,255 207 133
S0III,255 203 132
S0IV,255 213 160
S0V,255 195 139
S0VI,255 195 139
S1Ia0,255 202 138
S1Ia,255 202 138
S1Ib,255 202 138
S1II,255 205 128
S1III,255 200 121
S1IV,255 212 159
S1V,255 204 142
S1VI,255 204 142
S2Ia0,255 193 104
S2Ia,255 193 104
S2Ib,255 193 104
S2II,255 203 124
S2III,255 198 118
S2IV,255 211 157
S2V,255 196 131
