id,hip,proper,ra,dec,dist,mag,spect,x,y,z,ci
17300,17342,,3.711871,59.969391,632.9114,5.74,K4Ib,178.596166,261.596972,547.948137,0.878
20774,20825,,4.462788,-62.521206,109.7695,5.74,K0III,19.837847,46.603327,-97.385496,0.734
23419,23474,,5.045828,-22.795052,143.472,5.74,K1IV,32.697842,128.161268,-55.586329,0.109
26279,26344,,5.609784,54.428658,228.833,5.74,M0III,13.575297,132.421847,186.130899,0.486
28912,28984,,6.115976,-21.812299,384.6154,5.74,M3II/III,-10.840124,356.914766,-142.91047,0.32
30767,30840,,6.477568,-32.371279,264.5503,5.74,B5IV,-27.863083,221.69432,-141.641263,0.616
32724,32810,,6.839819,-31.706057,199.2032,5.74,B3V,-36.961638,165.393663,-104.693646,1.079
33190,33277,,6.921853,25.375697,17.2414,5.74,G0V,-3.723157,15.126311,7.388778,0.983
34297,34387,,7.130414,7.471214,182.4818,5.74,K0III:,-52.767354,173.067283,23.727782,-0.039
35545,35643,,7.354864,45.2282,35.4862,5.74,A7s,-8.680179,23.43677,25.192432,0.987
38670,38783,,7.938514,-60.526436,401.6064,5.74,K4II,-96.032316,172.694126,-349.631804,0.076
41182,41299,,8.426538,2.102209,273.9726,5.74,K5III,-162.46375,220.375981,10.049933,1
42804,42923,,8.747758,-37.147249,485.4369,5.74,B2III,-254.953231,291.062981,-293.13867,0.122
44376,44504,,9.066778,54.283887,119.6172,5.74,A2V,-50.232095,48.505736,97.119494,0.253
45830,45962,,9.373331,-46.047445,162.8664,5.74,G6/G8III,-87.349309,71.749612,-117.249883,1.009
46680,46813,,9.539003,-19.400303,115.6069,5.74,A4III,-87.182969,65.494438,-38.400776,-0.018
50306,50448,,10.300583,65.108351,79.5545,5.74,A8III,-30.224966,14.411102,72.164257,-0.063
52187,52338,,10.696747,68.443499,157.4803,5.74,K3III,-54.525856,19.36103,146.465493,0.152
52336,52487,,10.73089,-64.249042,359.7122,5.74,B3:V,-147.733705,50.974659,-323.989621,1.556
54668,54829,,11.225219,-59.619318,675.6757,5.74,B1.5V,-334.712682,68.83901,-582.894914,0.065
55913,56080,,11.494957,15.413269,134.2282,5.74,K4III,-128.270834,17.059489,35.67502,0.349
61020,61212,,12.543334,-13.859105,38.1679,5.74,F3IV/V,-36.682475,-5.253349,-9.142551,-0.045
65389,65595,,13.449205,78.643869,87.6424,5.74,G2.5IIIb,-16.030328,-6.391134,85.926689,1
66456,66666,,13.666622,-49.949956,157.4803,5.74,M8III,-91.838266,-42.82332,-120.548372,0.274
67726,67942,,13.913646,-67.6521,289.0173,5.74,K2III,-96.387855,-52.780932,-267.30977,0.962
70885,71111,,14.541926,55.39801,190.1141,5.74,K5III,-84.924332,-66.658376,156.486102,0.104
71054,71280,,14.577676,49.368354,262.4672,5.74,M1III,-133.453774,-106.783179,199.189307,0.995
71227,71453,,14.61226,-40.21158,147.4926,5.74,B8V,-87.305913,-71.164093,-95.22301,0.486
71342,71568,,14.636837,43.64213,276.2431,5.74,K2III,-154.136704,-127.297671,190.649383,0.03
72024,72250,,14.774724,-47.441116,93.7207,5.74,A1V,-47.385916,-42.101967,-69.032967,1.559
74521,74750,,15.276859,-60.903996,515.4639,5.74,B0.5V,-163.940384,-189.611321,-450.415569,1.06
75743,75974,,15.515514,64.208693,94.6074,5.74,K0III-IV,-24.925927,-32.758311,85.183145,0.348
